constructor,avglap,year,circuit,podium
Mercedes,97872.11,2014,"Albert Park Grand Prix Circuit",1
McLaren,98341.88,2014,"Albert Park Grand Prix Circuit",1
McLaren,98398.89,2014,"Albert Park Grand Prix Circuit",1
Ferrari,98491.12,2014,"Albert Park Grand Prix Circuit",0
Williams,98707.88,2014,"Albert Park Grand Prix Circuit",0
"Force India",98761.89,2014,"Albert Park Grand Prix Circuit",0
Ferrari,98883.95,2014,"Albert Park Grand Prix Circuit",0
"Toro Rosso",98932.47,2014,"Albert Park Grand Prix Circuit",0
"Toro Rosso",98987.63,2014,"Albert Park Grand Prix Circuit",0
"Force India",99379.40,2014,"Albert Park Grand Prix Circuit",0
Williams,95728.67,2015,"Albert Park Grand Prix Circuit",0
Mercedes,95070.12,2015,"Albert Park Grand Prix Circuit",1
Mercedes,95093.57,2015,"Albert Park Grand Prix Circuit",1
Ferrari,95665.34,2015,"Albert Park Grand Prix Circuit",1
Sauber,96710.62,2015,"Albert Park Grand Prix Circuit",0
"Force India",115566.04,2016,"Albert Park Grand Prix Circuit",0
Renault,115459.14,2016,"Albert Park Grand Prix Circuit",0
Renault,115420.42,2016,"Albert Park Grand Prix Circuit",0
"Toro Rosso",115305.23,2016,"Albert Park Grand Prix Circuit",0
"Toro Rosso",115285.00,2016,"Albert Park Grand Prix Circuit",0
Williams,115275.75,2016,"Albert Park Grand Prix Circuit",0
"Force India",115259.02,2016,"Albert Park Grand Prix Circuit",0
"Red Bull",114384.12,2016,"Albert Park Grand Prix Circuit",0
Ferrari,114126.46,2016,"Albert Park Grand Prix Circuit",1
Mercedes,114098.68,2016,"Albert Park Grand Prix Circuit",1
"Haas F1 Team",115221.86,2016,"Albert Park Grand Prix Circuit",0
Williams,114992.00,2016,"Albert Park Grand Prix Circuit",0
Mercedes,113957.28,2016,"Albert Park Grand Prix Circuit",1
Ferrari,88625.82,2017,"Albert Park Grand Prix Circuit",1
Mercedes,88800.82,2017,"Albert Park Grand Prix Circuit",1
Mercedes,88823.19,2017,"Albert Park Grand Prix Circuit",1
Ferrari,89018.68,2017,"Albert Park Grand Prix Circuit",0
"Red Bull",89131.56,2017,"Albert Park Grand Prix Circuit",0
Williams,90088.74,2017,"Albert Park Grand Prix Circuit",0
McLaren,93244.90,2018,"Albert Park Grand Prix Circuit",0
Renault,93431.12,2018,"Albert Park Grand Prix Circuit",0
"Force India",93450.00,2018,"Albert Park Grand Prix Circuit",0
"Force India",93682.09,2018,"Albert Park Grand Prix Circuit",0
Sauber,93949.00,2018,"Albert Park Grand Prix Circuit",0
Williams,93992.60,2018,"Albert Park Grand Prix Circuit",0
Ferrari,92751.59,2018,"Albert Park Grand Prix Circuit",1
Mercedes,92729.64,2018,"Albert Park Grand Prix Circuit",1
Ferrari,92642.81,2018,"Albert Park Grand Prix Circuit",1
Mercedes,93234.86,2018,"Albert Park Grand Prix Circuit",0
Renault,93206.10,2018,"Albert Park Grand Prix Circuit",0
"Red Bull",93141.86,2018,"Albert Park Grand Prix Circuit",0
McLaren,93123.60,2018,"Albert Park Grand Prix Circuit",0
"Red Bull",92764.69,2018,"Albert Park Grand Prix Circuit",0
"Haas F1 Team",89904.84,2019,"Albert Park Grand Prix Circuit",0
Ferrari,89405.66,2019,"Albert Park Grand Prix Circuit",0
Ferrari,89386.79,2019,"Albert Park Grand Prix Circuit",0
"Red Bull",88790.43,2019,"Albert Park Grand Prix Circuit",1
Mercedes,88762.26,2019,"Albert Park Grand Prix Circuit",1
Mercedes,88402.16,2019,"Albert Park Grand Prix Circuit",1
Mercedes,91294.67,2022,"Albert Park Grand Prix Circuit",0
Mercedes,91243.81,2022,"Albert Park Grand Prix Circuit",1
"Aston Martin",92330.10,2022,"Albert Park Grand Prix Circuit",0
"Red Bull",91156.41,2022,"Albert Park Grand Prix Circuit",1
Ferrari,90802.55,2022,"Albert Park Grand Prix Circuit",1
"Alfa Romeo",92211.09,2022,"Albert Park Grand Prix Circuit",0
Williams,92171.21,2022,"Albert Park Grand Prix Circuit",0
AlphaTauri,92116.71,2022,"Albert Park Grand Prix Circuit",0
"Alfa Romeo",91982.53,2022,"Albert Park Grand Prix Circuit",0
"Alpine F1 Team",91866.05,2022,"Albert Park Grand Prix Circuit",0
McLaren,91729.05,2022,"Albert Park Grand Prix Circuit",0
McLaren,91721.57,2022,"Albert Park Grand Prix Circuit",0
Mercedes,84416.08,2020,"Autodromo Enzo e Dino Ferrari",1
AlphaTauri,84564.62,2020,"Autodromo Enzo e Dino Ferrari",0
Renault,84551.59,2020,"Autodromo Enzo e Dino Ferrari",1
Mercedes,84324.29,2020,"Autodromo Enzo e Dino Ferrari",1
"Alfa Romeo",84677.05,2020,"Autodromo Enzo e Dino Ferrari",0
"Racing Point",84787.19,2020,"Autodromo Enzo e Dino Ferrari",0
"Alfa Romeo",84743.30,2020,"Autodromo Enzo e Dino Ferrari",0
Williams,84755.00,2020,"Autodromo Enzo e Dino Ferrari",0
Ferrari,84775.92,2020,"Autodromo Enzo e Dino Ferrari",0
McLaren,84659.70,2020,"Autodromo Enzo e Dino Ferrari",0
"Racing Point",84636.22,2020,"Autodromo Enzo e Dino Ferrari",0
Ferrari,84627.63,2020,"Autodromo Enzo e Dino Ferrari",0
McLaren,84645.40,2020,"Autodromo Enzo e Dino Ferrari",0
"Haas F1 Team",84847.06,2020,"Autodromo Enzo e Dino Ferrari",0
"Red Bull",85233.56,2020,"Autodromo Enzo e Dino Ferrari",0
AlphaTauri,117578.03,2021,"Autodromo Enzo e Dino Ferrari",0
Ferrari,117168.79,2021,"Autodromo Enzo e Dino Ferrari",0
"Alpine F1 Team",117796.17,2021,"Autodromo Enzo e Dino Ferrari",0
Mercedes,117088.86,2021,"Autodromo Enzo e Dino Ferrari",1
McLaren,117115.87,2021,"Autodromo Enzo e Dino Ferrari",1
McLaren,117552.67,2021,"Autodromo Enzo e Dino Ferrari",0
"Red Bull",117805.54,2021,"Autodromo Enzo e Dino Ferrari",0
Ferrari,117145.67,2021,"Autodromo Enzo e Dino Ferrari",0
"Alpine F1 Team",117782.57,2021,"Autodromo Enzo e Dino Ferrari",0
"Aston Martin",117642.97,2021,"Autodromo Enzo e Dino Ferrari",0
AlphaTauri,117901.30,2021,"Autodromo Enzo e Dino Ferrari",0
"Alfa Romeo",118243.98,2021,"Autodromo Enzo e Dino Ferrari",0
"Red Bull",116739.65,2021,"Autodromo Enzo e Dino Ferrari",1
"Aston Martin",88871.08,2022,"Autodromo Enzo e Dino Ferrari",0
